"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.913752591830057,0.834943799076146,1.8100145923363e-12,0.913053630813115,2.0176375600757e-12,"mls"
"Goals.per.match",0.724907343075103,0.525490656044205,5.87984665170426e-06,0.728969849674848,4.90967989167938e-06,"mls"
"Goals.conceded.per.match",-0.766750245565483,0.587905939074729,7.76482636374279e-07,-0.785786831991978,2.67957604434106e-07,"mls"
"Average.possession",0.288779230831424,0.0833934441595888,0.121698266108284,0.299866548460418,0.107409913501201,"mls"
"Clean.sheets",0.78719173330502,0.619670824983761,2.46683972794681e-07,0.797407170669824,1.32629534938654e-07,"mls"
"Attendance",0.151043481977864,0.0228141334479975,0.425606256648699,0.365196522640303,0.0472098985101024,"mls"
"Expected.goals",0.75600897425619,0.571549569155896,1.35606868609362e-06,0.779635529419415,3.82204531460449e-07,"mls"
"xG.difference",0.727165637963809,0.528769865035314,5.32110813674412e-06,0.714095456628645,9.36075822064396e-06,"mls"
"Shots.on.target.per.match",0.624382428889737,0.389853417506247,0.000226315813490878,0.589472159612825,0.000608588422426764,"mls"
"Big.chances",0.782535917366486,0.612362461968608,3.23734260267715e-07,0.771451547748597,6.02705673539442e-07,"mls"
"Big.chances.missed",0.718521924108461,0.516273755424526,7.75788958793397e-06,0.701731090995824,1.55387426907841e-05,"mls"
"Accurate.passes.per.match",0.280152268032837,0.0784852932839426,0.133752261313662,0.304813204985927,0.101456595861322,"mls"
"Accurate.long.balls.per.match",-0.0795035269490583,0.00632081079733963,0.676226738039875,-0.134210300512635,0.479520820134769,"mls"
"Accurate.crosses.per.match",-0.102154645813461,0.0104355716612736,0.591158721021327,-0.18044861176973,0.339969637527781,"mls"
"Penalties.awarded",0.267743293396792,0.0716864711589607,0.152588996283441,0.272578127135776,0.145035443847384,"mls"
"Touches.in.opposition.box",0.712354668083293,0.507449173140058,1.00688351811709e-05,0.705883211546358,1.31442707573177e-05,"mls"
"Corners",0.508452471879108,0.258523916159975,0.0041188335327865,0.444246308169388,0.0139167148318618,"mls"
"Set.piece.goals",0.426603466569174,0.181990517688836,0.0187270184554878,0.410181026008226,0.0243666914986663,"mls"
"xG.conceded",-0.34707440439654,0.120460642187213,0.0602283499075428,-0.221442270485223,0.239586082637999,"mls"
"Interceptions.per.match",-0.148481860208125,0.0220468628108652,0.433587760066008,-0.18857397902254,0.318296422149247,"mls"
"Tackles.per.match",0.0996143438381686,0.00992301749830888,0.600464858291167,0.0769488242741928,0.686096919744959,"mls"
"Clearances.per.match",-0.121409880893683,0.0147403591786182,0.522755354286877,-0.0616499687773738,0.746217686269742,"mls"
"Possession.won.final.3rd.per.match",0.21274209740938,0.0452592000101421,0.259022690846972,0.209455977837397,0.266625150977368,"mls"
"Set.piece.goals.conceded",-0.173012301736372,0.0299332565521174,0.360568405496803,-0.207336006427851,0.271605925250053,"mls"
"Penalties.conceded",-0.0251947342753097,0.000634774635203465,0.896780029179759,0.0468850104721781,0.809159827842075,"mls"
"Saves.per.match",-0.416168530901828,0.173196246112986,0.0221681800567027,-0.406103935900788,0.0259635161104122,"mls"
"Fouls.per.match",0.0426706663036398,0.00182078576279658,0.822844751924957,0.068235052558036,0.720136738607211,"mls"
"Yellow.cards",0.13663730590047,0.0186697533637386,0.471537051319199,0.166666670815014,0.378717711024985,"mls"
"Red.cards",-0.0430924789003291,0.0018569617377753,0.824348712710284,-0.0404822816987704,0.834838923241201,"mls"
"goal_difference",0.947256392877447,0.897294673847192,2.28389225219445e-15,0.934782980467051,4.12677412492092e-14,"mls"
