"stat","min_r","max_r","range","mean_r","min_p","max_p","mean_p","min_significant","max_significant"
"Accurate.long.balls.per.match",-0.299257667210746,0.15071245892337,0.449970126134116,-0.0646597388067822,0.199925405887871,0.986155862772024,0.584326668380494,FALSE,FALSE
"Yellow.cards",-0.549482477885109,0.13663730590047,0.686119783785579,-0.219315309649168,0.0120868872686062,0.929245956146393,0.392260729792794,TRUE,FALSE
"Penalties.conceded",-0.529271486306284,-0.0251947342753097,0.504076752030974,-0.258168555203247,0.0197910993879364,0.896780029179759,0.392181879108236,TRUE,FALSE
"Accurate.crosses.per.match",-0.310499201785264,0.535138026338367,0.845637228123631,0.0997253093005723,0.0150420579982992,0.887075615380661,0.413429714624256,TRUE,FALSE
"Red.cards",-0.43090862151347,0.183345969798512,0.614254591311982,-0.159884634546426,0.0578561217858773,0.824348712710284,0.419122487242115,FALSE,FALSE
"Fouls.per.match",-0.643992619102593,0.0426706663036398,0.686663285406233,-0.301028434069273,0.00218167514785365,0.822844751924957,0.351632717780578,TRUE,FALSE
"Tackles.per.match",-0.700740933086865,0.0996143438381686,0.800355276925034,-0.299024735439729,0.00119846936873875,0.792138108044002,0.295737564322787,TRUE,FALSE
"Penalties.awarded",0.0759987151205936,0.67248983358572,0.596491118465126,0.379631168742352,0.00223029736676737,0.764390188347574,0.198136237144415,TRUE,FALSE
"Set.piece.goals.conceded",-0.6822769229867,-0.127187124406057,0.555089798580643,-0.413542674459794,0.000919426119141425,0.593098103490739,0.192978528807448,TRUE,FALSE
"Interceptions.per.match",-0.510760393466108,-0.148481860208125,0.362278533257983,-0.339920398869442,0.0223485301097193,0.55234674402424,0.216118719275705,TRUE,FALSE
"Clearances.per.match",-0.826726934148469,-0.121409880893683,0.705317053254786,-0.597129943302465,6.99800908676556e-06,0.522755354286877,0.0900795793027092,TRUE,FALSE
"Attendance",0.151043481977864,0.717818987943017,0.566775505965153,0.511457952299901,0.00036575726828555,0.425606256648699,0.0863407153205751,TRUE,FALSE
"Possession.won.final.3rd.per.match",0.21274209740938,0.83155423261384,0.61881213520446,0.564693968839901,1.89329520744726e-05,0.259022690846972,0.0564092551120934,TRUE,FALSE
"Set.piece.goals",0.289851669035243,0.639800913270268,0.349949244235025,0.49736091142812,0.00387617742244381,0.21511799377289,0.0550011580195796,TRUE,FALSE
"Accurate.passes.per.match",0.280152268032837,0.912035461320859,0.631883193288022,0.676583466926859,2.16870159691473e-08,0.133752261313662,0.0228752159355604,TRUE,FALSE
"Average.possession",0.288779230831424,0.895074600143924,0.6062953693125,0.693319630493799,9.94788700268218e-08,0.121698266108284,0.0208248842471938,TRUE,FALSE
"xG.conceded",-0.850364371628095,-0.34707440439654,0.503289967231555,-0.697006028934023,2.04793241590041e-06,0.0602283499075428,0.0108520845876253,TRUE,FALSE
"Saves.per.match",-0.710069411041015,-0.416168530901828,0.293900880139187,-0.611474807325199,0.000660634694746041,0.0221681800567027,0.00712441329977138,TRUE,TRUE
"Big.chances.missed",0.616637965411898,0.788306809510388,0.17166884409849,0.698127653647189,7.75788958793397e-06,0.00436499952382654,0.00157518621847207,TRUE,TRUE
"Corners",0.508452471879108,0.777907896980108,0.269455425101,0.681257232635127,5.39601700070438e-05,0.0041188335327865,0.00169881370903725,TRUE,TRUE
"Clean.sheets",0.667499763887665,0.898985270406899,0.231485506519234,0.775582794523546,7.17224566726304e-08,0.00130183475209568,0.000376378668573659,TRUE,TRUE
"Shots.on.target.per.match",0.624382428889737,0.917895130295812,0.293512701406075,0.815249762410744,8.00654836935728e-08,0.000226315813490878,4.16707132685653e-05,TRUE,TRUE
"Goals.conceded.per.match",-0.89850159954349,-0.764832342955031,0.133669256588459,-0.84175658178057,7.8901104032153e-08,0.000217948889261884,3.74772989554973e-05,TRUE,TRUE
"Expected.goals",0.75600897425619,0.929325243083113,0.173316268826923,0.83504517903422,2.50351852676508e-08,7.17583219310561e-05,1.57633749430563e-05,TRUE,TRUE
"Big.chances",0.777574273526666,0.868054324325669,0.090480050799003,0.809188018291014,3.23734260267715e-07,5.46218185630084e-05,2.35965228746607e-05,TRUE,TRUE
"Touches.in.opposition.box",0.712354668083293,0.895267065062851,0.182912396979558,0.833203107656612,5.2164124600926e-07,1.00688351811709e-05,4.94316668161418e-06,TRUE,TRUE
"Goals.per.match",0.724907343075103,0.929598070111754,0.204690727036651,0.881638909229545,2.42936253182673e-08,5.87984665170426e-06,1.01830995714656e-06,TRUE,TRUE
"xG.difference",0.727165637963809,0.933328077308056,0.206162439344247,0.86866584216068,1.59054131649894e-08,5.32110813674412e-06,1.43612186490532e-06,TRUE,TRUE
"FotMob.rating",0.898462576885834,0.966665822177855,0.068203245292021,0.938316207004529,1.8100145923363e-12,7.49850876286665e-08,1.29526101903072e-08,TRUE,TRUE
"goal_difference",0.947256392877447,0.98482097304435,0.037564580166903,0.971067480920893,2.28389225219445e-15,3.48510114059736e-11,6.41978983052698e-12,TRUE,TRUE
